1.000 0.010
2 69  2.759374 -0.569263 
2 70  2.773004 -0.402678 
2 71  2.775768 -0.232343 
2 72  2.766921 -0.058581 
2 73  2.745621 0.118245 
2 74  2.710905 0.297727 
2 75  2.661652 0.479391 
2 76  2.596536 0.662689 
2 77  2.513948 0.846965 
2 78  2.411890 1.031421 
2 79  2.287793 1.215052 
2 80  2.138212 1.396548 
2 81  1.958270 1.574104 
2 82  1.740515 1.745049 
2 83  1.472184 1.904972 
2 84  1.126798 2.045073 
2 85  0.619798 2.138520 
3 15  -1.972417 1.143409 
3 16  -2.275714 0.719839 
3 17  -2.430406 0.373913 
3 18  -2.515012 0.067315 
3 19  -2.554836 -0.211899 
3 20  -2.562265 -0.469399 
3 21  -2.544623 -0.708443 
3 22  -2.506750 -0.931126 
3 23  -2.452094 -1.138904 
3 24  -2.383246 -1.332844 
3 25  -2.302237 -1.513767 
3 26  -2.210709 -1.682322 
3 27  -2.110024 -1.839040 
3 28  -2.001336 -1.984362 
3 29  -1.885642 -2.118667 
3 30  -1.763815 -2.242281 
3 31  -1.636631 -2.355491 
3 32  -1.504786 -2.458555 
3 33  -1.368911 -2.551703 
3 34  -1.229585 -2.635148 
3 35  -1.087342 -2.709083 
3 36  -0.942678 -2.773689 
3 37  -0.796058 -2.829135 
3 38  -0.647918 -2.875582 
3 39  -0.498675 -2.913181 
3 40  -0.348721 -2.942077 
3 41  -0.198435 -2.962409 
3 42  -0.048180 -2.974313 
3 43  0.101693 -2.977920 
3 44  0.250846 -2.973357 
3 45  0.398947 -2.960749 
3 46  0.545672 -2.940221 
3 47  0.690704 -2.911895 
3 48  0.833731 -2.875891 
3 49  0.974443 -2.832332 
3 50  1.112535 -2.781337 
3 51  1.247701 -2.723028 
3 52  1.379637 -2.657528 
3 53  1.508038 -2.584961 
3 54  1.632597 -2.505451 
3 55  1.753004 -2.419126 
3 56  1.868944 -2.326118 
3 57  1.980098 -2.226558 
3 58  2.086140 -2.120585 
3 59  2.186736 -2.008341 
3 60  2.281541 -1.889972 
3 61  2.370200 -1.765631 
3 62  2.452342 -1.635478 
3 63  2.527583 -1.499679 
3 64  2.595518 -1.358410 
3 65  2.655719 -1.211858 
3 66  2.707733 -1.060221 
3 67  2.751076 -0.903709 
3 68  2.785228 -0.742550 
3 69  2.809624 -0.576989 
3 70  2.823646 -0.407296 
3 71  2.826615 -0.233764 
3 72  2.817769 -0.056720 
3 73  2.796252 0.123470 
3 74  2.761081 0.306394 
3 75  2.711115 0.491574 
3 76  2.645002 0.678455 
3 77  2.561105 0.866375 
3 78  2.457389 1.054529 
3 79  2.331240 1.241902 
3 80  2.179157 1.427170 
3 81  1.996191 1.608512 
3 82  1.774792 1.783237 
3 83  1.502078 1.946907 
3 84  1.151490 2.090721 
3 85  0.639745 2.188274 
4 15  -2.021833 1.165714 
4 16  -2.325776 0.735823 
4 17  -2.481652 0.383577 
4 18  -2.566828 0.071198 
4 19  -2.606665 -0.213309 
4 20  -2.613654 -0.475679 
4 21  -2.595203 -0.719220 
4 22  -2.556214 -0.946065 
4 23  -2.500186 -1.157699 
4 24  -2.429750 -1.355215 
4 25  -2.346967 -1.539451 
4 26  -2.253505 -1.711073 
4 27  -2.150749 -1.870624 
4 28  -2.039871 -2.018557 
4 29  -1.921884 -2.155261 
4 30  -1.797676 -2.281070 
4 31  -1.668035 -2.396279 
4 32  -1.533666 -2.501152 
4 33  -1.395214 -2.595926 
4 34  -1.253264 -2.680818 
4 35  -1.108359 -2.756028 
4 36  -0.961004 -2.821739 
4 37  -0.811669 -2.878127 
4 38  -0.660800 -2.925355 
4 39  -0.508816 -2.963577 
4 40  -0.356119 -2.992942 
4 41  -0.203092 -3.013594 
4 42  -0.050102 -3.025669 
4 43  0.102493 -3.029301 
4 44  0.254349 -3.024621 
4 45  0.405131 -3.011757 
4 46  0.554509 -2.990835 
4 47  0.702162 -2.961978 
4 48  0.847773 -2.925311 
4 49  0.991027 -2.880957 
4 50  1.131615 -2.829038 
4 51  1.269226 -2.769677 
4 52  1.403551 -2.703000 
4 53  1.534281 -2.629131 
4 54  1.661103 -2.548197 
4 55  1.783703 -2.460328 
4 56  1.901762 -2.365656 
4 57  2.014954 -2.264317 
4 58  2.122949 -2.156448 
4 59  2.225407 -2.042194 
4 60  2.321978 -1.921704 
4 61  2.412299 -1.795131 
4 62  2.495996 -1.662636 
4 63  2.572676 -1.524389 
4 64  2.641926 -1.380567 
4 65  2.703314 -1.231358 
4 66  2.756376 -1.076962 
4 67  2.800621 -0.917592 
4 68  2.835518 -0.753478 
4 69  2.860493 -0.584868 
4 70  2.874917 -0.412032 
4 71  2.878096 -0.235269 
4 72  2.869257 -0.054906 
4 73  2.847524 0.128685 
4 74  2.811899 0.315089 
4 75  2.761218 0.503823 
4 76  2.694105 0.694327 
4 77  2.608893 0.885932 
4 78  2.503510 1.077825 
4 79  2.375299 1.268981 
4 80  2.220701 1.458063 
4 81  2.034695 1.643234 
4 82  1.809636 1.821783 
4 83  1.532522 1.989247 
4 84  1.176719 2.136820 
4 85  0.660145 2.238505 
5 15  -2.071923 1.188053 
5 16  -2.376548 0.751765 
5 17  -2.533587 0.393155 
5 18  -2.619313 0.074948 
5 19  -2.659145 -0.214897 
5 20  -2.665676 -0.482179 
5 21  -2.646395 -0.730257 
5 22  -2.606270 -0.961303 
5 23  -2.548847 -1.176830 
5 24  -2.476798 -1.377956 
5 25  -2.392216 -1.565537 
5 26  -2.296795 -1.740255 
5 27  -2.191940 -1.902666 
5 28  -2.078845 -2.053236 
5 29  -1.958537 -2.192362 
5 30  -1.831918 -2.320387 
5 31  -1.699789 -2.437615 
5 32  -1.562867 -2.544315 
5 33  -1.421806 -2.640731 
5 34  -1.277201 -2.727084 
5 35  -1.129604 -2.803580 
5 36  -0.979525 -2.870408 
5 37  -0.827444 -2.927746 
5 38  -0.673813 -2.975761 
5 39  -0.519057 -3.014613 
5 40  -0.363584 -3.044452 
5 41  -0.207783 -3.065424 
5 42  -0.052028 -3.077671 
5 43  0.103320 -3.081329 
5 44  0.257912 -3.076530 
5 45  0.411405 -3.063405 
5 46  0.563468 -3.042083 
5 47  0.713772 -3.012690 
5 48  0.861997 -2.975352 
5 49  1.007823 -2.930193 
5 50  1.150935 -2.877339 
5 51  1.291020 -2.816914 
5 52  1.427762 -2.749045 
5 53  1.560848 -2.673860 
5 54  1.689960 -2.591486 
5 55  1.814779 -2.502056 
5 56  1.934981 -2.405702 
5 57  2.050236 -2.302562 
5 58  2.160207 -2.192777 
5 59  2.264550 -2.076491 
5 60  2.362907 -1.953855 
5 61  2.454912 -1.825025 
5 62  2.540183 -1.690163 
5 63  2.618319 -1.549441 
5 64  2.688903 -1.403037 
5 65  2.751492 -1.251142 
5 66  2.805618 -1.093957 
5 67  2.850777 -0.931697 
5 68  2.886432 -0.764595 
5 69  2.911995 -0.592901 
5 70  2.926829 -0.416889 
5 71  2.930225 -0.236858 
5 72  2.921395 -0.053140 
5 73  2.899451 0.133890 
5 74  2.863372 0.323812 
5 75  2.811975 0.516140 
5 76  2.743858 0.710307 
5 77  2.657324 0.905638 
5 78  2.550266 1.101311 
5 79  2.419981 1.296293 
5 80  2.262855 1.489233 
5 81  2.073793 1.678278 
5 82  1.845055 1.860696 
5 83  1.563525 2.032000 
5 84  1.202490 2.183380 
5 85  0.681011 2.289226 
6 15  -2.122701 1.210425 
6 16  -2.428042 0.767668 
6 17  -2.586222 0.402646 
6 18  -2.672480 0.078565 
6 19  -2.712289 -0.216663 
6 20  -2.718342 -0.488902 
6 21  -2.698211 -0.741560 
6 22  -2.656927 -0.976845 
6 23  -2.598087 -1.196302 
6 24  -2.524401 -1.401072 
6 25  -2.437995 -1.592030 
6 26  -2.340587 -1.769875 
6 27  -2.233607 -1.935175 
6 28  -2.118265 -2.088408 
6 29  -1.995607 -2.229980 
6 30  -1.866548 -2.360243 
6 31  -1.731900 -2.479509 
6 32  -1.592395 -2.588054 
6 33  -1.448694 -2.686128 
6 34  -1.301402 -2.773957 
6 35  -1.151079 -2.851752 
6 36  -0.998245 -2.919708 
6 37  -0.843386 -2.978005 
6 38  -0.686960 -3.026815 
6 39  -0.529400 -3.066301 
6 40  -0.371119 -3.096617 
6 41  -0.212512 -3.117914 
6 42  -0.053958 -3.130333 
6 43  0.104176 -3.134015 
6 44  0.261534 -3.129095 
6 45  0.417772 -3.115706 
6 46  0.572550 -3.093979 
6 47  0.725536 -3.064043 
6 48  0.876405 -3.026025 
6 49  1.024834 -2.980052 
6 50  1.170501 -2.926251 
6 51  1.313087 -2.864750 
6 52  1.452275 -2.795677 
6 53  1.587744 -2.719160 
6 54  1.719174 -2.635330 
6 55  1.846239 -2.544320 
6 56  1.968610 -2.446265 
6 57  2.085952 -2.341304 
6 58  2.197924 -2.229580 
6 59  2.304173 -2.111240 
6 60  2.404339 -1.986434 
6 61  2.498049 -1.855321 
6 62  2.584912 -1.718066 
6 63  2.664524 -1.574840 
6 64  2.736459 -1.425826 
6 65  2.800266 -1.271214 
6 66  2.855468 -1.111209 
6 67  2.901556 -0.946028 
6 68  2.937979 -0.775905 
6 69  2.964141 -0.601093 
6 70  2.979392 -0.421867 
6 71  2.983012 -0.238532 
6 72  2.974197 -0.051423 
6 73  2.952043 0.139085 
6 74  2.915511 0.332565 
6 75  2.863397 0.528526 
6 76  2.794272 0.726397 
6 77  2.706410 0.925496 
6 78  2.597668 1.124993 
6 79  2.465297 1.323844 
6 80  2.305629 1.520686 
6 81  2.113494 1.713650 
