1.000 0.010
1 95  1.589600 -0.627908 
1 96  1.608652 -0.595243 
1 97  1.627530 -0.561644 
1 98  1.646225 -0.527064 
1 99  1.664731 -0.491455 
1 100  1.683036 -0.454762 
2 0  -0.909924 -1.517692 
2 1  -0.871076 -1.531449 
2 2  -0.832829 -1.544294 
2 3  -0.795154 -1.556272 
2 4  -0.758022 -1.567424 
2 5  -0.721408 -1.577786 
2 6  -0.685288 -1.587393 
2 7  -0.649640 -1.596276 
2 8  -0.614444 -1.604464 
2 9  -0.579680 -1.611984 
2 10  -0.545331 -1.618861 
2 11  -0.511379 -1.625117 
2 12  -0.477811 -1.630774 
2 13  -0.444610 -1.635853 
2 14  -0.411764 -1.640371 
2 15  -0.379259 -1.644345 
2 16  -0.347083 -1.647792 
2 17  -0.315225 -1.650726 
2 18  -0.283675 -1.653162 
2 19  -0.252421 -1.655112 
2 20  -0.221455 -1.656588 
2 21  -0.190767 -1.657603 
2 22  -0.160348 -1.658165 
2 23  -0.130191 -1.658286 
2 24  -0.100288 -1.657974 
2 25  -0.070630 -1.657238 
2 26  -0.041213 -1.656086 
2 27  -0.012027 -1.654525 
2 28  0.016932 -1.652562 
2 29  0.045671 -1.650204 
2 30  0.074195 -1.647456 
2 31  0.102511 -1.644325 
2 32  0.130623 -1.640814 
2 33  0.158537 -1.636930 
2 34  0.186256 -1.632676 
2 35  0.213787 -1.628056 
2 36  0.241132 -1.623073 
2 37  0.268298 -1.617732 
2 38  0.295286 -1.612034 
2 39  0.322102 -1.605984 
2 40  0.348748 -1.599582 
2 41  0.375229 -1.592830 
2 42  0.401548 -1.585732 
2 43  0.427708 -1.578287 
2 44  0.453712 -1.570497 
2 45  0.479563 -1.562363 
2 46  0.505264 -1.553886 
2 47  0.530817 -1.545066 
2 48  0.556226 -1.535902 
2 49  0.581492 -1.526395 
2 50  0.606618 -1.516545 
2 51  0.631606 -1.506350 
2 52  0.656459 -1.495809 
2 53  0.681178 -1.484921 
2 54  0.705765 -1.473686 
2 55  0.730222 -1.462100 
2 56  0.754551 -1.450161 
2 57  0.778754 -1.437868 
2 58  0.802832 -1.425218 
2 59  0.826786 -1.412208 
2 60  0.850618 -1.398834 
2 61  0.874329 -1.385093 
2 62  0.897920 -1.370981 
2 63  0.921393 -1.356494 
2 64  0.944748 -1.341627 
2 65  0.967986 -1.326376 
2 66  0.991108 -1.310735 
2 67  1.014115 -1.294699 
2 68  1.037007 -1.278261 
2 69  1.059785 -1.261415 
2 70  1.082449 -1.244155 
2 71  1.105000 -1.226472 
2 72  1.127437 -1.208360 
2 73  1.149761 -1.189809 
2 74  1.171972 -1.170812 
2 75  1.194069 -1.151358 
2 76  1.216052 -1.131438 
2 77  1.237922 -1.111041 
2 78  1.259676 -1.090155 
2 79  1.281316 -1.068770 
2 80  1.302839 -1.046871 
2 81  1.324244 -1.024446 
2 82  1.345531 -1.001479 
2 83  1.366698 -0.977957 
2 84  1.387744 -0.953861 
2 85  1.408667 -0.929175 
2 86  1.429464 -0.903880 
2 87  1.450133 -0.877955 
2 88  1.470673 -0.851381 
2 89  1.491079 -0.824133 
2 90  1.511350 -0.796188 
2 91  1.531481 -0.767520 
2 92  1.551469 -0.738099 
2 93  1.571309 -0.707896 
2 94  1.590997 -0.676879 
2 95  1.610528 -0.645012 
2 96  1.629895 -0.612257 
2 97  1.649093 -0.578574 
2 98  1.668114 -0.543917 
2 99  1.686951 -0.508238 
2 100  1.705595 -0.471485 
3 0  -0.914849 -1.545523 
3 1  -0.875707 -1.559096 
3 2  -0.837166 -1.571768 
3 3  -0.799195 -1.583583 
3 4  -0.761767 -1.594579 
3 5  -0.724857 -1.604793 
3 6  -0.688440 -1.614258 
3 7  -0.652496 -1.623005 
3 8  -0.617004 -1.631062 
3 9  -0.581945 -1.638456 
3 10  -0.547302 -1.645211 
3 11  -0.513058 -1.651349 
3 12  -0.479197 -1.656892 
3 13  -0.445705 -1.661858 
3 14  -0.412568 -1.666267 
3 15  -0.379774 -1.670134 
3 16  -0.347310 -1.673476 
3 17  -0.315166 -1.676307 
3 18  -0.283330 -1.678641 
3 19  -0.251791 -1.680491 
3 20  -0.220542 -1.681869 
3 21  -0.189572 -1.682785 
3 22  -0.158872 -1.683251 
3 23  -0.128436 -1.683275 
3 24  -0.098254 -1.682867 
3 25  -0.068319 -1.682036 
3 26  -0.038625 -1.680789 
3 27  -0.009165 -1.679134 
3 28  0.020069 -1.677077 
3 29  0.049080 -1.674625 
3 30  0.077877 -1.671783 
3 31  0.106464 -1.668558 
3 32  0.134846 -1.664954 
3 33  0.163028 -1.660975 
3 34  0.191016 -1.656626 
3 35  0.218814 -1.651912 
3 36  0.246426 -1.646835 
3 37  0.273856 -1.641398 
3 38  0.301109 -1.635605 
3 39  0.328189 -1.629458 
3 40  0.355099 -1.622959 
3 41  0.381843 -1.616111 
3 42  0.408423 -1.608915 
3 43  0.434845 -1.601372 
3 44  0.461109 -1.593483 
3 45  0.487221 -1.585250 
3 46  0.513181 -1.576673 
3 47  0.538994 -1.567752 
3 48  0.564661 -1.558487 
3 49  0.590186 -1.548878 
3 50  0.615570 -1.538925 
3 51  0.640816 -1.528626 
3 52  0.665926 -1.517981 
3 53  0.690902 -1.506988 
3 54  0.715747 -1.495647 
3 55  0.740461 -1.483954 
3 56  0.765047 -1.471908 
3 57  0.789507 -1.459507 
3 58  0.813841 -1.446748 
3 59  0.838053 -1.433627 
3 60  0.862142 -1.420142 
3 61  0.886110 -1.406290 
3 62  0.909959 -1.392065 
3 63  0.933689 -1.377465 
3 64  0.957302 -1.362484 
3 65  0.980798 -1.347118 
3 66  1.004179 -1.331361 
3 67  1.027445 -1.315208 
3 68  1.050597 -1.298653 
3 69  1.073635 -1.281689 
3 70  1.096560 -1.264310 
3 71  1.119373 -1.246508 
3 72  1.142072 -1.228275 
3 73  1.164660 -1.209604 
3 74  1.187135 -1.190485 
3 75  1.209497 -1.170910 
3 76  1.231747 -1.150867 
3 77  1.253884 -1.130347 
3 78  1.275908 -1.109338 
3 79  1.297817 -1.087829 
3 80  1.319612 -1.065807 
3 81  1.341291 -1.043258 
3 82  1.362853 -1.020168 
3 83  1.384297 -0.996522 
3 84  1.405622 -0.972303 
3 85  1.426825 -0.947494 
3 86  1.447906 -0.922077 
3 87  1.468861 -0.896032 
3 88  1.489688 -0.869338 
3 89  1.510386 -0.841972 
3 90  1.530951 -0.813910 
3 91  1.551379 -0.785127 
3 92  1.571667 -0.755594 
3 93  1.591811 -0.725282 
3 94  1.611807 -0.694159 
3 95  1.631650 -0.662190 
3 96  1.651334 -0.629339 
3 97  1.670853 -0.595563 
3 98  1.690202 -0.560821 
3 99  1.709372 -0.525064 
3 100  1.728355 -0.488242 
4 0  -0.919898 -1.573528 
4 1  -0.880455 -1.586923 
4 2  -0.841612 -1.599427 
4 3  -0.803339 -1.611082 
4 4  -0.765608 -1.621927 
4 5  -0.728395 -1.631997 
4 6  -0.691677 -1.641323 
4 7  -0.655431 -1.649937 
4 8  -0.619638 -1.657866 
4 9  -0.584279 -1.665137 
4 10  -0.549337 -1.671771 
4 11  -0.514794 -1.677793 
4 12  -0.480636 -1.683222 
4 13  -0.446848 -1.688078 
4 14  -0.413417 -1.692378 
4 15  -0.380329 -1.696140 
4 16  -0.347573 -1.699378 
4 17  -0.315137 -1.702106 
4 18  -0.283011 -1.704340 
4 19  -0.251184 -1.706090 
4 20  -0.219648 -1.707369 
4 21  -0.188391 -1.708188 
4 22  -0.157407 -1.708556 
4 23  -0.126687 -1.708485 
4 24  -0.096223 -1.707982 
4 25  -0.066007 -1.707055 
4 26  -0.036033 -1.705714 
4 27  -0.006294 -1.703964 
4 28  0.023217 -1.701812 
4 29  0.052505 -1.699266 
4 30  0.081577 -1.696330 
4 31  0.110438 -1.693010 
4 32  0.139093 -1.689312 
4 33  0.167548 -1.685238 
4 34  0.195807 -1.680795 
4 35  0.223876 -1.675985 
4 36  0.251757 -1.670812 
4 37  0.279457 -1.665280 
4 38  0.306978 -1.659390 
4 39  0.334325 -1.653147 
4 40  0.361501 -1.646551 
4 41  0.388510 -1.639605 
4 42  0.415356 -1.632310 
4 43  0.442042 -1.624668 
4 44  0.468570 -1.616680 
4 45  0.494945 -1.608346 
4 46  0.521168 -1.599668 
4 47  0.547243 -1.590645 
4 48  0.573172 -1.581278 
4 49  0.598958 -1.571566 
4 50  0.624603 -1.561508 
4 51  0.650110 -1.551105 
4 52  0.675481 -1.540354 
4 53  0.700717 -1.529255 
4 54  0.725822 -1.517806 
4 55  0.750796 -1.506006 
4 56  0.775642 -1.493851 
4 57  0.800361 -1.481340 
4 58  0.824956 -1.468470 
4 59  0.849427 -1.455238 
4 60  0.873776 -1.441641 
4 61  0.898004 -1.427675 
4 62  0.922113 -1.413336 
4 63  0.946104 -1.398621 
4 64  0.969977 -1.383524 
4 65  0.993735 -1.368041 
4 66  1.017377 -1.352167 
4 67  1.040905 -1.335896 
4 68  1.064320 -1.319221 
4 69  1.087621 -1.302137 
4 70  1.110810 -1.284637 
4 71  1.133887 -1.266713 
4 72  1.156852 -1.248358 
4 73  1.179705 -1.229564 
4 74  1.202447 -1.210321 
4 75  1.225078 -1.190621 
4 76  1.247597 -1.170454 
4 77  1.270004 -1.149808 
4 78  1.292299 -1.128674 
4 79  1.314482 -1.107038 
4 80  1.336551 -1.084889 
4 81  1.358506 -1.062214 
4 82  1.380346 -1.038997 
4 83  1.402069 -1.015224 
4 84  1.423675 -0.990878 
4 85  1.445162 -0.965943 
4 86  1.466528 -0.940401 
4 87  1.487771 -0.914230 
4 88  1.508890 -0.887412 
4 89  1.529881 -0.859923 
4 90  1.550741 -0.831740 
4 91  1.571469 -0.802837 
4 92  1.592060 -0.773187 
4 93  1.612510 -0.742761 
4 94  1.632816 -0.711526 
4 95  1.652973 -0.679449 
4 96  1.672976 -0.646493 
4 97  1.692819 -0.612619 
4 98  1.712496 -0.577784 
4 99  1.732001 -0.541940 
4 100  1.751324 -0.505039 
5 0  -0.925070 -1.601716 
5 1  -0.885320 -1.614939 
5 2  -0.846167 -1.627280 
5 3  -0.807585 -1.638781 
5 4  -0.769546 -1.649478 
5 5  -0.732024 -1.659406 
5 6  -0.694998 -1.668597 
5 7  -0.658445 -1.677081 
5 8  -0.622346 -1.684884 
5 9  -0.586681 -1.692032 
5 10  -0.551434 -1.698549 
5 11  -0.516589 -1.704456 
5 12  -0.482128 -1.709774 
5 13  -0.448040 -1.714520 
5 14  -0.414309 -1.718713 
5 15  -0.380923 -1.722369 
5 16  -0.347870 -1.725504 
5 17  -0.315139 -1.728131 
5 18  -0.282719 -1.730264 
5 19  -0.250600 -1.731915 
5 20  -0.218771 -1.733096 
5 21  -0.187225 -1.733817 
5 22  -0.155953 -1.734089 
5 23  -0.124945 -1.733922 
5 24  -0.094195 -1.733323 
5 25  -0.063694 -1.732301 
5 26  -0.033436 -1.730865 
5 27  -0.003415 -1.729020 
5 28  0.026377 -1.726774 
5 29  0.055946 -1.724133 
5 30  0.085296 -1.721103 
5 31  0.114435 -1.717688 
5 32  0.143367 -1.713894 
5 33  0.172098 -1.709726 
5 34  0.200632 -1.705187 
5 35  0.228974 -1.700281 
5 36  0.257128 -1.695012 
5 37  0.285100 -1.689383 
5 38  0.312892 -1.683396 
5 39  0.340509 -1.677055 
5 40  0.367955 -1.670361 
5 41  0.395234 -1.663316 
5 42  0.422348 -1.655922 
5 43  0.449301 -1.648180 
5 44  0.476096 -1.640091 
5 45  0.502737 -1.631656 
5 46  0.529226 -1.622876 
5 47  0.555566 -1.613750 
5 48  0.581760 -1.604280 
5 49  0.607811 -1.594463 
5 50  0.633720 -1.584301 
5 51  0.659491 -1.573791 
5 52  0.685125 -1.562934 
5 53  0.710625 -1.551727 
5 54  0.735992 -1.540170 
5 55  0.761229 -1.528259 
5 56  0.786338 -1.515994 
5 57  0.811320 -1.503372 
5 58  0.836177 -1.490390 
5 59  0.860911 -1.477045 
5 60  0.885523 -1.463334 
5 61  0.910014 -1.449253 
5 62  0.934386 -1.434799 
5 63  0.958640 -1.419967 
5 64  0.982777 -1.404753 
5 65  1.006799 -1.389151 
5 66  1.030706 -1.373157 
5 67  1.054499 -1.356766 
5 68  1.078178 -1.339970 
5 69  1.101746 -1.322764 
5 70  1.125201 -1.305141 
5 71  1.148545 -1.287093 
5 72  1.171778 -1.268614 
5 73  1.194900 -1.249694 
5 74  1.217912 -1.230325 
5 75  1.240814 -1.210498 
5 76  1.263605 -1.190203 
5 77  1.286285 -1.169430 
