1.000 0.010
3 35  -0.646603 -0.993930 
3 36  -0.566024 -1.017740 
3 37  -0.487648 -1.036870 
3 38  -0.411283 -1.051707 
3 39  -0.336768 -1.062571 
3 40  -0.263967 -1.069729 
3 41  -0.192764 -1.073402 
3 42  -0.123061 -1.073775 
3 43  -0.054772 -1.071000 
3 44  0.012176 -1.065205 
3 45  0.077843 -1.056493 
3 46  0.142284 -1.044946 
3 47  0.205544 -1.030627 
3 48  0.267659 -1.013585 
3 49  0.328661 -0.993849 
3 50  0.388575 -0.971436 
3 51  0.447417 -0.946347 
3 52  0.505202 -0.918568 
3 53  0.561935 -0.888071 
3 54  0.617619 -0.854812 
3 55  0.672247 -0.818731 
3 56  0.725808 -0.779752 
3 57  0.778283 -0.737778 
3 58  0.829647 -0.692691 
3 59  0.879865 -0.644350 
3 60  0.928893 -0.592585 
3 61  0.976674 -0.537195 
3 62  1.023141 -0.477938 
3 63  1.068207 -0.414528 
3 64  1.111769 -0.346623 
3 65  1.153699 -0.273810 
3 66  1.193837 -0.195589 
3 67  1.231986 -0.111349 
3 68  1.267897 -0.020333 
3 69  1.301257 0.078406 
3 70  1.331657 0.186080 
3 71  1.358564 0.304260 
3 72  1.381258 0.435042 
3 73  1.398744 0.581297 
3 74  1.409596 0.747102 
3 75  1.411682 0.938515 
3 76  1.401617 1.165068 
3 77  1.373601 1.442982 
3 78  1.316533 1.803089 
3 79  1.205215 2.314913 
3 80  0.961857 3.191634 
3 81  0.025718 5.958229 
4 19  -3.392894 2.547331 
4 20  -2.732376 1.233127 
4 21  -2.388759 0.633124 
4 22  -2.147153 0.260785 
4 23  -1.955167 -0.001847 
4 24  -1.792385 -0.200489 
4 25  -1.648844 -0.357334 
4 26  -1.518965 -0.484733 
4 27  -1.399324 -0.590227 
4 28  -1.287670 -0.678741 
4 29  -1.182447 -0.753659 
4 30  -1.082533 -0.817399 
4 31  -0.987096 -0.871750 
4 32  -0.895498 -0.918064 
4 33  -0.807242 -0.957390 
4 34  -0.721933 -0.990556 
4 35  -0.639249 -1.018223 
4 36  -0.558929 -1.040926 
4 37  -0.480755 -1.059104 
4 38  -0.404546 -1.073120 
4 39  -0.330148 -1.083273 
4 40  -0.257430 -1.089814 
4 41  -0.186282 -1.092953 
4 42  -0.116607 -1.092863 
4 43  -0.048324 -1.089691 
4 44  0.018639 -1.083556 
4 45  0.084340 -1.074556 
4 46  0.148833 -1.062769 
4 47  0.212162 -1.048257 
4 48  0.274362 -1.031064 
4 49  0.335465 -1.011218 
4 50  0.395494 -0.988736 
4 51  0.454469 -0.963616 
4 52  0.512403 -0.935847 
4 53  0.569302 -0.905401 
4 54  0.625168 -0.872235 
4 55  0.679999 -0.836292 
4 56  0.733783 -0.797498 
4 57  0.786504 -0.755760 
4 58  0.838138 -0.710965 
4 59  0.888654 -0.662978 
4 60  0.938011 -0.611638 
4 61  0.986158 -0.556751 
4 62  1.033030 -0.498089 
4 63  1.078550 -0.435382 
4 64  1.122621 -0.368306 
4 65  1.165127 -0.296472 
4 66  1.205921 -0.219415 
4 67  1.244824 -0.136564 
4 68  1.281612 -0.047220 
4 69  1.316000 0.049489 
4 70  1.347627 0.154665 
4 71  1.376019 0.269727 
4 72  1.400548 0.396546 
4 73  1.420357 0.537645 
4 74  1.434239 0.696549 
4 75  1.440428 0.878375 
4 76  1.436203 1.090946 
4 77  1.417084 1.347053 
4 78  1.374983 1.669640 
4 79  1.293154 2.105889 
4 80  1.128185 2.777351 
4 81  0.700143 4.184546 
5 18  -4.510513 4.808141 
5 19  -3.084719 1.805970 
5 20  -2.616012 0.938288 
5 21  -2.323857 0.460553 
5 22  -2.104403 0.141979 
5 23  -1.924204 -0.091390 
5 24  -1.768512 -0.272004 
5 25  -1.629588 -0.416799 
5 26  -1.502890 -0.535667 
5 27  -1.385531 -0.634856 
5 28  -1.275565 -0.718553 
5 29  -1.171621 -0.789692 
5 30  -1.072693 -0.850405 
5 31  -0.978026 -0.902288 
5 32  -0.887036 -0.946561 
5 33  -0.799263 -0.984179 
5 34  -0.714337 -1.015901 
5 35  -0.631959 -1.042337 
5 36  -0.551880 -1.063984 
5 37  -0.473895 -1.081252 
5 38  -0.397831 -1.094480 
5 39  -0.323540 -1.103949 
5 40  -0.250898 -1.109896 
5 41  -0.179797 -1.112518 
5 42  -0.110145 -1.111981 
5 43  -0.041862 -1.108422 
5 44  0.025119 -1.101957 
5 45  0.090858 -1.092676 
5 46  0.155406 -1.080657 
5 47  0.218805 -1.065955 
5 48  0.281091 -1.048613 
5 49  0.342296 -1.028659 
5 50  0.402443 -1.006108 
5 51  0.461551 -0.980958 
5 52  0.519632 -0.953197 
